epoch,accuracy,loss,val_accuracy,val_loss
0,0.0075842696242034435,0.6968734264373779,0.006548788398504257,0.694856584072113
1,0.5738763809204102,0.6929537057876587,0.9934512376785278,0.6909592151641846
2,0.992415726184845,0.6890563368797302,0.9934512376785278,0.6870715022087097
3,0.992415726184845,0.6851751208305359,0.9934512376785278,0.6832053065299988
4,0.992415726184845,0.6813033819198608,0.9934512376785278,0.679341733455658
5,0.992415726184845,0.6774366497993469,0.9934512376785278,0.675475537776947
6,0.992415726184845,0.6735671758651733,0.9934512376785278,0.671607494354248
7,0.992415726184845,0.6696876883506775,0.9934512376785278,0.6677290797233582
8,0.992415726184845,0.6657962203025818,0.9934512376785278,0.6638348698616028
9,0.992415726184845,0.6618838906288147,0.9934512376785278,0.6599137187004089
