epoch,accuracy,loss,val_accuracy,val_loss
0,0.9912921190261841,0.6706296801567078,0.9960707426071167,0.6641127467155457
1,0.9912921190261841,0.6583353877067566,0.9960707426071167,0.6514959931373596
2,0.9912921190261841,0.6455497145652771,0.9960707426071167,0.6382095217704773
3,0.9912921190261841,0.6319640874862671,0.9960707426071167,0.6239520907402039
4,0.9912921190261841,0.6172167062759399,0.9960707426071167,0.6082813739776611
5,0.9912921190261841,0.6008210182189941,0.9960707426071167,0.5906932950019836
6,0.9912921190261841,0.5821966528892517,0.9960707426071167,0.5704765915870667
7,0.9912921190261841,0.5606657266616821,0.9960707426071167,0.5469481348991394
8,0.9912921190261841,0.5354796051979065,0.9960707426071167,0.5192359089851379
9,0.9912921190261841,0.5055503845214844,0.9960707426071167,0.4861239492893219
