epoch,accuracy,auc,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.23117977380752563,0.5605383515357971,4.0,2733.0,1.0462785959243774,0.008705114014446735,0.8571428656578064,799.0,24.0,0.2743942439556122,0.5255452394485474,2.0,1106.0,0.9649688005447388,0.006289307959377766,0.7777777910232544,412.0,7.0
1,0.3404494524002075,0.573683500289917,4.0,2344.0,0.886707067489624,0.010135134682059288,0.8571428656578064,1188.0,24.0,0.3955468237400055,0.5374395847320557,2.0,921.0,0.8251141905784607,0.00754310330376029,0.7777777910232544,597.0,7.0
2,0.483426958322525,0.5760647654533386,10.0,1829.0,0.7518495917320251,0.00974553357809782,0.6428571343421936,1703.0,18.0,0.5684348344802856,0.5370370745658875,4.0,655.0,0.7037927508354187,0.007575757801532745,0.5555555820465088,863.0,5.0
